,tste_2_0,tste_2_1,tste_3_0,tste_3_1,tste_3_2,tste_4_0,tste_4_1,tste_4_2,tste_4_3,tste_5_0,tste_5_1,tste_5_2,tste_5_3,tste_5_4,tste_6_0,tste_6_1,tste_6_2,tste_6_3,tste_6_4,tste_6_5,tste_7_0,tste_7_1,tste_7_2,tste_7_3,tste_7_4,tste_7_5,tste_7_6,tste_8_0,tste_8_1,tste_8_2,tste_8_3,tste_8_4,tste_8_5,tste_8_6,tste_8_7,tste_9_0,tste_9_1,tste_9_2,tste_9_3,tste_9_4,tste_9_5,tste_9_6,tste_9_7,tste_9_8,tste_10_0,tste_10_1,tste_10_2,tste_10_3,tste_10_4,tste_10_5,tste_10_6,tste_10_7,tste_10_8,tste_10_9
29,1.1074,-0.66746,-0.56452,1.2358,0.17668,0.097363,0.30673,0.11363,-1.4298,0.51295,-1.1703,-0.89149,-0.10305999999999998,-0.27689,0.38547,-0.55813,0.99545,0.34175,-0.88245,0.7418399999999999,-0.7241,-0.60425,0.16749,-1.1739,-0.21996999999999997,-0.025185,0.90759,-0.15185,0.1609,0.85341,0.49713,0.38639,0.9792200000000001,-0.9048299999999999,0.8425600000000001,-0.7881,-0.6159899999999999,-1.0817,-0.48733999999999994,0.21006999999999998,-0.8875,-0.39228,0.032895999999999995,-0.6208100000000001,1.3205,0.72333,-0.31075,-0.25673,-0.8690700000000001,-0.44241,-0.59782,0.041654000000000004,-0.24723,0.69823
30,-1.6848,1.4784,0.5703,-2.3031,0.35803,0.43259,-0.38231,-0.6731,2.3229,-0.59321,-0.16959000000000002,2.3781,0.038935000000000004,0.24598000000000003,0.10407999999999999,-0.052154,-1.4318,1.0219,1.8794,0.13960999999999998,0.64156,0.74065,-1.5778,1.5969,0.018568,1.248,0.5376,-1.3826,1.0875,-0.9302600000000001,-1.8971,0.32989,-1.0615,0.53569,-0.023693000000000002,0.13136,-0.14768,-0.6129600000000001,-0.12727,0.1207,1.1008,1.6289,-0.093538,2.1169,-1.3634,0.70801,-1.3377,-0.81515,1.3668,-0.35303,-0.69202,-0.12536,-0.33181,-1.3755
31,0.7048,0.14577,-0.33754,0.2436,-1.2965,-0.90697,1.1594,-0.22705999999999998,-0.034991,-0.8002199999999999,0.52118,-0.64536,-0.5535800000000001,-1.0738,-1.1311,-0.8277,-0.50676,-0.24759,-0.79322,-0.33043,0.90486,-0.34018000000000004,1.2318,-0.050107,0.92669,-0.2145,0.37817,0.16994,0.07499299999999999,-0.56024,0.27338,-1.8063,0.33061999999999997,-0.39136,-0.022473,-0.059410000000000004,-0.83945,1.0839,0.099117,0.11444000000000001,0.28861,0.023367,-1.3204,-0.95231,-0.061020000000000005,0.43081,1.0859999999999999,0.42408,-0.3326,1.3263,-0.5012,-1.0025,0.23375,-0.16997
32,-1.7309,0.59705,1.2019,-1.5003,0.61097,0.4794,-0.40823000000000004,0.36701999999999996,1.9833,0.35723,0.84325,1.9981,0.21364,0.071621,-0.004573600000000001,0.60469,-0.56334,1.031,1.3588,-1.3154,0.5997899999999999,1.2329999999999999,-0.5283100000000001,0.52727,0.10642,1.2294,-1.4194,-0.31596,-0.40601,-1.4432,-0.51255,0.67551,-0.20886,0.7286600000000001,-1.6745,1.0845,0.80889,1.1311,-0.18395,-1.1837,0.18993,-0.080592,-0.22294,1.6846,-1.7013,-0.95273,0.4134,0.95968,0.9379799999999999,-0.22071999999999997,-0.36741999999999997,1.3121,0.14725,-0.52982
33,0.61316,-0.22709000000000001,-0.42498,0.47663,-0.47668999999999995,-0.21295999999999998,-0.56608,-0.10045,-0.8685,-0.079541,-0.25606,-0.9402,0.51147,0.45573,0.16209,0.37811999999999996,0.26029,-0.5406,-0.46129,0.93299,-0.33621,-0.74942,-0.04609,0.071646,-0.64168,-0.93014,0.33674,0.9162299999999999,0.40962,0.96821,0.35746999999999995,0.080026,-0.32683,-0.19480999999999998,0.30088000000000004,-0.34606,-0.32537,-0.11523,0.8849100000000001,0.37277,-0.0029224,-0.83288,0.53582,-0.62152,0.3929,0.28064,0.5687800000000001,-0.40043,-0.62459,-0.37188000000000004,1.209,-0.12968,-0.33118000000000003,0.45473
34,1.2938,0.33874,-1.3152,0.51757,0.18811,0.22996999999999998,-0.070899,-0.96235,-1.2937,-0.16029000000000002,-1.3684,-0.72339,-0.24665,0.5498,0.86498,-0.72815,0.28242,-0.087013,-0.47898999999999997,1.2221,-0.75273,-0.92591,-0.30921,-0.09955900000000001,-0.2488,-0.6301899999999999,1.3098,0.34789000000000003,1.1841,0.81734,0.6398699999999999,0.054034000000000006,0.017987,-0.48402,1.1041,-0.55807,-0.48765,-0.81777,0.72627,1.1932,-0.61034,-0.79164,-0.06462799999999999,-0.46791000000000005,0.52876,0.45971999999999996,0.25786,-1.0929,-0.90866,-0.15523,0.26356999999999997,-0.36334,-1.021,0.9077799999999999
35,0.27646,1.2105,-1.0178,-0.82257,0.6076199999999999,0.88725,-0.36816,-1.3501,0.10995,-0.5040899999999999,-0.54723,0.33289,-0.51352,1.5257,1.0735,-0.53379,-0.36822,-0.5031899999999999,1.0179,0.83249,-1.4323,0.71735,-0.27539,1.024,0.032309,0.19179000000000002,0.69926,-0.62225,0.87013,-0.67182,0.51546,0.8647600000000001,-1.2213,-0.6449,0.46576000000000006,-0.090255,-0.07367699999999999,-0.35481999999999997,-0.5011899999999999,1.3848,0.56385,-0.87174,-0.069622,1.3567,-1.2012,-0.12633,-1.0694,0.029826,-0.94952,-0.8916200000000001,-0.10187,-0.51215,-1.0799,0.025829
36,-1.2643,-0.39874,1.5352,-0.41313999999999995,-0.15147,-0.081116,-0.90497,1.2323,0.93675,0.6533100000000001,0.31939,1.1898,1.3066,-0.30881,-0.73729,0.7750199999999999,0.034343,0.9919,1.2927,0.42088000000000003,1.2255,-0.7881100000000001,-1.0386,0.19793,-0.91827,0.58114,-0.5159,0.8795299999999999,1.1935,-0.080467,-1.0358,0.24495999999999998,0.49094,0.37546,-1.1071,-0.37266,-0.13676,0.4652,1.574,-1.1672,-0.30015,-0.069316,-0.17749,1.0346,-0.77555,0.6187199999999999,1.4957,-0.6688,0.26709,-0.19448,0.1328,1.2144,-0.12800999999999998,-0.76166
37,0.060684,0.51918,-0.44853000000000004,-0.51061,0.02219,0.17965,-0.98811,-0.52927,-0.033357,-0.36362,0.030310000000000004,-0.07694400000000001,0.48047,1.1181,1.0367,0.70815,-0.37085,-0.50831,-0.036799,0.22993000000000002,-0.4782,0.15203,-0.41344,0.9780700000000001,-0.6379600000000001,-0.6554300000000001,0.25776,0.19797,0.062283000000000005,0.55489,-0.16034,0.44611000000000006,-1.2186,0.41113,0.66445,0.8203299999999999,-0.025699,-0.050738,0.62895,0.88384,-0.058741999999999996,-0.44135,0.96986,0.3768,0.0742,-0.90871,-0.34573000000000004,0.32444,-0.28951,-0.55793,1.1887,-0.17829,-0.82271,-0.2639
38,0.52018,-1.0021,0.16913,1.1261,-0.14098,-0.15887,-0.46618999999999994,0.71016,-1.1203,0.78709,-0.17524,-1.1114,0.73292,0.035304,-0.35923,0.5704600000000001,1.1471,-0.30829,-0.2899,0.88245,0.043529000000000005,-0.9109799999999999,-0.12143,-0.9286,-0.88141,-0.77705,-0.23056,0.9453799999999999,0.22459,1.2626,0.18061,0.27403,0.61307,-0.37958000000000003,-0.50405,-0.8708899999999999,-0.44953000000000004,-0.49938,0.47529,-0.9533299999999999,0.013465000000000001,-0.7913600000000001,0.7067100000000001,-0.5935600000000001,0.9273299999999999,0.75647,0.29957,-0.12264000000000001,-0.8931100000000001,-0.63965,0.7259,0.73534,0.83324,-0.13201
